
57.akiyo, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 0, PSNR: 42.36dB                                        
58.akiyo, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 1, PSNR: 33.31dB                                        
59.akiyo, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 0, PSNR: 42.61dB                                       
60.akiyo, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 1, PSNR: 41.51dB                                       
61.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 0, PSNR: 10.20dB                                       
62.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 1, PSNR: 10.10dB                                       
63.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 0, PSNR: 33.50dB                                      
64.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 1, PSNR: 33.25dB                                      
65.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 0, PSNR: 19.18dB                                       
66.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 1, PSNR: 12.81dB                                       
67.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 0, PSNR: 34.37dB                                      
68.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 1, PSNR: 33.55dB                                      
69.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 0, PSNR: 36.25dB                                       
70.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 1, PSNR: 25.97dB                                       
71.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 0, PSNR: 36.25dB                                      
72.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 1, PSNR: 35.10dB                                      
1.football, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 0, PSNR: 34.21dB                                       
2.football, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 1, PSNR: 15.49dB                                       
3.football, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 0, PSNR: 52.97dB                                      
4.football, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 1, PSNR: 50.65dB                                      
5.football, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 0, PSNR: 35.83dB                                       
6.football, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 1, PSNR: 20.01dB                                       
7.football, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 0, PSNR: 52.57dB                                      
8.football, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 1, PSNR: 51.00dB                                      
9.football, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 0, PSNR: 54.36dB                                       
10.football, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 1, PSNR: 44.27dB                                      
11.football, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 0, PSNR: 54.50dB                                     
12.football, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 1, PSNR: 52.86dB                                     
13.football, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 0, PSNR: 13.90dB                                     
14.football, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 1, PSNR: 11.35dB                                     
15.football, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 0, PSNR: 34.31dB                                    
16.football, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 1, PSNR: 33.88dB                                    
17.football, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 0, PSNR: 20.06dB                                     
18.football, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 1, PSNR: 13.19dB                                     
19.football, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 0, PSNR: 35.12dB                                    
20.football, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 1, PSNR: 34.15dB                                    
